Orthogroup	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4	Total
OG0000131	5	5	4	4	1	5	4	4	4	4	3	3	4	4	4	4	5	4	4	4	4	4	4	4	2	4	5	4	4	4	3	4	4	4	4	4	141
OG0000132	30	24	12	0	0	4	0	1	1	1	1	0	5	1	9	3	1	24	1	1	1	1	1	7	1	4	0	0	0	1	4	0	0	0	0	1	140
OG0000133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
OG0000134	5	3	3	5	1	6	5	5	6	5	1	1	2	4	5	0	3	6	5	5	5	5	4	2	5	1	5	5	5	5	2	5	4	1	3	5	138
OG0000135	6	19	5	0	2	9	4	4	6	0	4	0	5	0	12	4	9	26	0	0	0	0	0	10	0	4	4	0	0	0	5	0	0	0	0	0	138
OG0000136	6	14	5	0	6	15	0	0	1	0	7	2	2	0	18	1	15	16	0	0	0	0	0	5	0	7	0	0	0	0	17	0	0	0	0	0	137
OG0000137	14	17	7	2	3	4	2	2	7	2	4	0	5	2	3	8	4	9	1	1	1	3	2	3	2	8	2	1	1	1	4	2	2	2	3	2	136
OG0000138	14	13	4	3	1	6	3	3	6	3	0	0	4	3	3	3	5	7	3	3	3	3	3	3	2	5	3	3	2	3	4	3	3	3	3	3	136
OG0000139	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134
OG0000140	10	12	9	0	1	19	0	0	2	0	1	0	11	0	21	5	12	9	0	0	0	0	0	17	0	5	0	0	0	0	0	0	0	0	0	0	134
OG0000141	7	4	5	4	1	5	3	3	4	4	0	2	5	3	5	4	6	2	5	5	4	4	5	4	4	5	4	2	2	4	5	2	3	3	2	3	133
OG0000142	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133
OG0000143	2	0	1	9	0	0	8	4	0	10	0	0	1	7	8	0	1	0	5	5	7	11	8	1	8	1	3	3	3	5	1	9	2	2	2	5	132
OG0000144	11	5	4	5	0	4	3	2	4	8	3	3	4	4	4	2	4	5	3	4	3	5	4	3	5	4	2	3	3	4	4	3	2	2	0	2	131
OG0000145	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131
OG0000146	13	8	6	4	2	3	2	3	3	3	1	0	4	2	6	3	5	4	2	3	2	3	4	4	3	6	3	2	2	2	8	1	3	4	3	3	130
OG0000147	10	9	4	0	0	2	0	0	3	0	7	1	50	0	27	0	4	7	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	130
OG0000148	6	6	5	4	1	5	2	3	6	3	2	1	5	3	5	5	5	5	3	3	4	4	4	3	3	5	2	2	2	3	6	4	2	2	1	3	128
